LATITUDE,LONGITUDE,PLACA_VEICULO
-23.49092616,-46.38644452,CMC3255
-23.56689508,-46.39714938,LAV6971
-23.66693827,-46.77406401,CBD1334
-23.57920514,-46.66164148,CRB0962
-23.65281228,-46.60774297,CTJ6045
-23.57847158,-46.41318614,BQM0553
-23.51764363,-46.47616707,CLY9459
-23.45151482,-46.60782491,DNZ8717
-23.54473011,-46.41565538,CZJ6332
-23.5632504,-46.5897937,CJA1590
-23.6083409,-46.5176285,COL4237
-23.55549857,-46.75018019,BQK7321
-23.61374745,-46.65922191,DAV1827
-23.68659857,-46.79481034,BOU1585
-23.60364294,-46.49031676,NYV7477
-23.49901204,-46.4197688,JNS3980
-23.61314155,-46.4753039,CDC6506
-23.53889044,-46.60815912,CJC6003
-23.6043472,-46.48371855,FOH1417
-23.53529541,-46.64066468,QNG0970
-23.61288835,-46.49488247,DEL0099
-23.5011611,-46.40609667,BFB1973
-23.55336425,-46.42749796,JLB8730
-23.53452883,-46.62437874,CFQ5041
-23.71296729,-46.62523554,CIL0003
-23.62731829,-46.76688641,BOU5751
-23.512629,-46.4084064,BZC9982
-23.523719,-46.664576,FNL9493
-23.61670893,-46.49689744,BGO6133
-23.54256093,-46.49281065,EUT6016
-23.55711033,-46.67674344,QNM3085
-23.6561284,-46.75884682,CHF1322
-23.6867946,-46.66626891,ELD7789
-23.48478164,-46.68047489,KVI6775
-23.5381056,-46.473303,EAN0900
-23.65855546,-46.61501307,DDR3175
-23.51137813,-46.39398609,CSJ9597
-23.60296926,-46.57053347,CKK2253
-23.5579528,-46.5028105,FPA5530
-23.6757962,-46.6959316,FBE2409
-23.47191249,-46.64570612,FJP9780
-23.4384512,-46.56565628,CRF5792
-23.53670757,-46.69502868,EBP3708
-23.55999761,-46.50209589,DCK5570
-23.60934498,-46.52422532,GAA6237
-23.53164847,-46.44440689,CRR7402
-23.58934387,-46.73793672,EMX7035
-23.58293929,-46.59749276,CGO6439
-23.50476544,-46.69616773,QNH2629
-23.5959477,-46.58508093,FIA1351
-23.625093,-46.7656613,CRT0714
-23.54438586,-46.52211231,KWH5973
-23.54635841,-46.57523223,FQF7447
-23.60079015,-46.48134355,CMA4192
-23.5305676,-46.5160706,BPK4344
-23.65243285,-46.6811158,FNI8160
-23.67983582,-46.71055909,FAK2778
-23.58740399,-46.51423122,CNQ8630
-23.53236222,-46.54468037,FNK2621
-23.66261164,-46.76584841,DCX7615
-23.55771036,-46.63984162,FSS1424
-23.53874145,-46.55997139,GCG7776
-23.72960854,-46.69091111,BNY1746
-23.6142597,-46.4607694,DSW4769
-23.58094309,-46.53387423,CAJ5823
-23.53524139,-46.60332803,BJI8128
-23.54402254,-46.41981316,EEM0978
-23.56647646,-46.62583651,KCZ1410
-23.5396778,-46.4887489,FKN9526
-23.63015059,-46.76838128,BGJ5890
-23.5777997,-46.79039376,EMH7250
-23.50337654,-46.44410857,BYA9565
-23.5180899,-46.48542596,BGE7106
-23.60991948,-46.51924838,KPQ3833
-23.53337561,-46.54566257,EVL8619
-23.47115358,-46.60465422,DXT4040
-23.61712609,-46.60164462,COF5669
-23.54068194,-46.64136608,FJC1294
-23.52727105,-46.69116127,EQM2765
-23.52806921,-46.40775065,CED4792
-23.49363934,-46.6599276,DJM4683
-23.51222187,-46.39382097,DBO2360
-23.61102185,-46.50134218,BOT4361
-23.68367707,-46.79865688,AJD9791
-23.77672465,-46.69385012,FTD5418
-23.65437557,-46.76842407,DLP0239
-23.5117694,-46.43696221,EEV3405
-23.50723703,-46.4508331,FUI0267
-23.5229021,-46.38611597,BIA6837
-23.5028118,-46.7109425,CCG7454
-23.49603635,-46.74819068,DXH8910
-23.61079337,-46.48630986,HMM1418
-23.51621249,-46.42137183,QPJ7673
-23.55274005,-46.60597443,PYH9656
-23.44853483,-46.57523008,PYL4950
-23.58379117,-46.56376819,FOA4863
-23.6838746,-46.7159402,EQL1483
-23.60322099,-46.78015293,DDX9781
-23.57418282,-46.50059295,EQK5076
-23.72513291,-46.68272719,FFL2216
-23.5226273,-46.5426999,EJE1754
-23.677429,-46.69489599,PWQ2402
-23.60552554,-46.52582498,CLC1480
-23.4652128,-46.5980144,FVX5961
-23.50118023,-46.3832908,EQM7041
-23.7081201,-46.6943089,FRN0017
-23.56646492,-46.4657998,BOK6745
-23.58174093,-46.46233979,GUE5394
-23.4855619,-46.59462118,DTZ8007
-23.6182495,-46.5089044,BOM1242
-23.5844472,-46.761697,GUW3915
-23.47923678,-46.58214155,CCO3799
-23.49284909,-46.4853106,CQD7476
-23.61590973,-46.4651683,FCL8363
-23.65437557,-46.76842407,FHU0866
-23.49287993,-46.6166417,GBA0041
-23.55707751,-46.51156074,DVN8718
-23.4793216,-46.6054072,PWR2021
-23.58794819,-46.58012615,CIL9261
-23.50460462,-46.52269637,FOW0739
-23.6725289,-46.6580545,DER3834
-23.43715049,-46.75259039,BOU6177
-23.48450525,-46.45671947,CAQ2781
-23.55367192,-46.56685861,FUA4966
-23.60939912,-46.51730766,LSO0983
-23.50803621,-46.75801462,GAG4585
-23.53912436,-46.43017383,ETO5840
-23.57919299,-46.48140369,MUC4124
-23.57126916,-46.64180701,DCD7394
-23.54595251,-46.40907729,QON6612
-23.62770633,-46.4433989,EEL8449
-23.58116896,-46.4422987,DOS9969
-23.47079442,-46.57431179,DUC7420
-23.47727934,-46.61040303,GCA6895
-23.52009909,-46.75193367,FKO1148
-23.50678529,-46.74116122,PYL1766
-23.53606474,-46.60617759,KJF0002
-23.56490803,-46.68658803,CML8446
-23.51638032,-46.75357227,FTR3791
-23.55809014,-46.44321257,CMF1638
-23.519098,-46.40038207,GYS0237
-23.5970442,-46.6377649,EWM2778
-23.55021998,-46.68954844,FOL1851
-23.543047,-46.5023972,PZT3285
-23.4940456,-46.3970271,BRD2316
-23.5497493,-46.7503995,OXF5775
-23.4886297,-46.7283582,PZU5866
-23.6139076,-46.6872611,FTD9236
-23.47623071,-46.74869854,EMF5344
-23.578138,-46.73215455,EZK7400
-23.64200767,-46.70176351,PZZ2038
-23.52401999,-46.50457894,OWH4492
-23.8210228,-46.7499786,CER2518
-23.7331204,-46.71443415,FQW1329
-23.58847406,-46.48474555,QNJ4418
-23.50599666,-46.59826468,EBK9603
-23.5003269,-46.45704732,BGG7012
-23.50067543,-46.59342726,QNX6564
-23.550967,-46.6968305,PUL0549
-23.55049497,-46.67900732,NMH1514
-23.6005922,-46.5181538,FCR0282
-23.51429103,-46.49572775,PXC3745
-23.5208805,-46.7085963,EUU0465
-23.51785117,-46.54347058,FEY0046
-23.68436882,-46.69177868,EPR0381
-23.53730213,-46.72181024,FQF2545
-23.59828234,-46.75551246,CYL0612
-23.48831726,-46.74127276,FOC1432
-23.48404371,-46.59982541,PYZ0066
-23.5993888,-46.5175194,BPX0820
-23.42949947,-46.79456524,FIS8404
-23.48637047,-46.57817636,DVM3705
-23.5162301,-46.75247904,FMF5030
-23.56693138,-46.63741756,GDT0275
-23.4935414,-46.741954,FAB2466
-23.53315442,-46.68567299,EUJ4824
-23.53930119,-46.70748101,FAN6829
-23.48220974,-46.72433604,DMP5586
-23.60441574,-46.5933217,FDW7084
-23.49237935,-46.50572884,ERY5642
-23.48477624,-46.57078556,EVG9022
-23.60431122,-46.59953452,EAM8157
-23.54274881,-46.39250172,BGR0483
-23.6295088,-46.62358894,COH4602
-23.52049149,-46.52764766,OOV7264
-23.48204043,-46.59090466,PYA9318
-23.48632239,-46.74250835,EME6551
-23.49031391,-46.59462491,EMI7207
-23.53334956,-46.57409133,EUN1481
-23.50005683,-46.61076064,FCH3321
-23.59454237,-46.53720603,QOF5183
-23.6255062,-46.61558245,FHQ6013
-23.72344273,-46.69059411,EUV7865
